"title","job_id","job_category","posting_date","apply_before","job_schedule","locations","banner","requirements"
"Fresh Cut Produce Clerk","766163","Retail, Store Ops","09/14/2026, 08:17 AM",,"Part time","1400 E PASSYUNK AVE, PHILADELPHIA, PA, 19147, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Baker","767831","Retail, Store Ops","09/17/2026, 08:33 AM",,"Part time","1400 E PASSYUNK AVE, PHILADELPHIA, PA, 19147, US","ACME Markets","Customer Service Skills: Ability to provide friendly, timely, and helpful service while following up on customer requests and questions Baking & Production Knowledge: Experience preparing breads, pastries, and desserts using recipes, measurements, and baking techniques Attention to Detail: Ability to follow recipes accurately and maintain quality, consistency, and presentation standards Organization & Time Management: Ability to prioritize tasks, follow production schedules, and maintain a clean and orderly workspace Food Safety Awareness: Familiarity with proper food handling, sanitation practices, and safety procedures Team Collaboration: Ability to work independently and with others to drive daily bakery operations Adaptability: Comfort working in a fast‑paced environment with changing production needs Technical & Equipment Use: Ability to safely operate mixers, ovens, and bakery equipment following established guidelines Physical Capability: Ability to stand for extended periods, lift and move items, and work in varying temperature environments (ovens, coolers, freezers) Requirements: Must be 18 years of age or older Prior baking or food production experience preferred Availability to work early mornings, evenings, weekends, and holidays"
"Front End Entry Level","W737518","Retail, Store Ops","07/16/2026, 08:00 PM",,"Part time","1400 E PASSYUNK AVE, PHILADELPHIA, PA, 19147, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Acme Assistant Store Director-Philadelphia, PA","W738715","Retail, Store Ops","08/21/2026, 04:00 PM",,"Full time","4001 WALNUT ST, PHILADELPHIA, PA, 19104, US","ACME Markets","Minimum of one year of assistant manager experience responsible for managing a department/team within a multi-department operation within the retail or service industry - OR - Two years' experience as a department manager with responsibility for managing a department/team within a multi-department operation within the retail or high-volume service industry High school diploma or equivalent required; college degree is preferred Strong customer service and supervisory skills Perishable inventory management (no exceptions) Solid understanding of overall store operations Proven ability to demonstrate strong leadership skills Will be required to repeatedly use hands, arms, legs, and feet for sustained action (e.g. walking around the store, stocking, rotating product). Ability to stand 100% of the shift and work in a fast-paced environment. Preferred Qualifications: Schedule writing Inventory Ordering Shrink Management 2+ Years experience managing in a food-based industry Union experience Travel: May be required to travel for training or participation in corporate programs and focus groups. Additionally, travel to other stores to assist when necessary, may be required."
"Night Crew Stocker","757784","Retail, Store Ops","09/15/2026, 04:02 PM",,"Part time","4001 WALNUT ST, PHILADELPHIA, PA, 19104, US","ACME Markets","· You are 18 years of age or older. · You agree that food is central in all our lives. · You enjoy being on your feet, in fast paced, always moving type work. · You take pride in the work you do, with every detail, whether big or small. · You don’t mind working in different environments (freezer, refrigerator, sales floor). · Being a part of your community matters."
"In-Store Shopper","757982","Retail, Store Ops","08/26/2026, 01:59 PM","09/25/2026, 01:59 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Meat - Seafood Clerk","757971","Retail, Store Ops","08/26/2026, 01:51 PM","09/25/2026, 01:51 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","757978","Retail, Store Ops","08/26/2026, 01:55 PM","09/25/2026, 01:55 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Starbucks Barista","757992","Retail, Store Ops","08/26/2026, 02:08 PM","09/25/2026, 02:08 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","You agree that food is central in all our lives. Helping customers and fellow associates gives you energy. You take pride in the work you do, whether big or small. You like coffee, tea and/or delectable desserts a latte. You are eager & willing to learn. Being a part of your community matters."
"Fresh Cut Produce Clerk","757997","Retail, Store Ops","08/26/2026, 02:20 PM","09/25/2026, 02:20 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
